"","Dim1","e60","CI_lower","CI_upper","country"
"1","Both sexes",16.3,15.4,17.1,"Haiti"
"2","Both sexes",18,17.4,18.8,"Guyana"
"3","Both sexes",18.1,17.6,18.8,"Honduras"
"4","Both sexes",18.7,18.1,19.2,"Jamaica"
"5","Both sexes",19.4,18.8,20.1,"Bolivia"
"6","Both sexes",20.6,20.6,20.7,"Guatemala"
"7","Both sexes",20.7,20.2,21.2,"Venezuela"
"8","Both sexes",21,20.5,21.5,"Paraguay"
"9","Both sexes",21.3,21.3,21.4,"Brazil"
"10","Both sexes",21.4,21,22,"Trinidad and Tobago"
"11","Both sexes",21.6,21.5,21.7,"Cuba"
"12","Both sexes",21.6,21.6,21.6,"Argentina"
"13","Both sexes",21.7,21.4,22,"Belize"
"14","Both sexes",21.7,21.7,21.8,"Uruguay"
"15","Both sexes",22,22,22.1,"El Salvador"
"16","Both sexes",22.2,22.2,22.2,"Mexico"
"17","Both sexes",22.6,22.1,23.1,"Dominican Republic"
"18","Both sexes",22.7,22.7,22.7,"Colombia"
"19","Both sexes",22.8,22.6,23.2,"Ecuador"
"20","Both sexes",23.4,23,23.9,"Peru"
"21","Both sexes",24,23.9,24.1,"Panama"
"22","Both sexes",24.5,24.4,24.6,"Nicaragua"
"23","Both sexes",24.5,24.5,24.6,"Costa Rica"
"24","Both sexes",24.6,24.6,24.6,"Chile"
"25","Both sexes",25,25,25,"Canada"
"26","Both sexes",25.3,25.2,25.4,"Puerto Rico"
